epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1341.62,0.66548,0.51313,1.35186,0.91346,0.90406,0.95607,0.80264,0.71886,0.64644,1.34451,0.0011882,0.0011882,0.0011882
43,1373.61,0.6844,0.52781,1.37248,0.90613,0.91882,0.95761,0.80857,0.69438,0.58513,1.38708,0.0011684,0.0011684,0.0011684
44,1405.49,0.67424,0.5179,1.34469,0.9248,0.90761,0.95922,0.79943,0.69995,0.60313,1.39454,0.0011486,0.0011486,0.0011486
45,1436.65,0.65795,0.50384,1.33969,0.90912,0.90129,0.9502,0.81209,0.67609,0.59271,1.36558,0.0011288,0.0011288,0.0011288
46,1470.06,0.67069,0.51715,1.35449,0.89878,0.91605,0.94972,0.80225,0.68919,0.60305,1.38934,0.001109,0.001109,0.001109
47,1501.31,0.66594,0.50166,1.37288,0.9306,0.90314,0.961,0.80815,0.70076,0.57358,1.34916,0.0010892,0.0010892,0.0010892
48,1532.97,0.65445,0.4874,1.33136,0.90153,0.90314,0.95248,0.80775,0.69285,0.59042,1.40423,0.0010694,0.0010694,0.0010694
49,1564.64,0.6502,0.50361,1.32459,0.90885,0.91605,0.96332,0.79862,0.73999,0.59157,1.36633,0.0010496,0.0010496,0.0010496
50,1596.92,0.65335,0.49611,1.30931,0.92676,0.9105,0.96257,0.80853,0.68907,0.56933,1.41883,0.0010298,0.0010298,0.0010298
51,1629.55,0.63668,0.47824,1.34287,0.91525,0.91882,0.96794,0.8207,0.66786,0.56923,1.36037,0.00101,0.00101,0.00101
52,1661.29,0.62788,0.48619,1.33244,0.92846,0.89483,0.95612,0.81561,0.65541,0.57211,1.35839,0.0009902,0.0009902,0.0009902
53,1692.64,0.61825,0.47405,1.3163,0.9144,0.90667,0.95711,0.81427,0.68194,0.58341,1.3667,0.0009704,0.0009704,0.0009704
54,1724.29,0.60453,0.47268,1.30496,0.93295,0.88838,0.95202,0.80654,0.68144,0.623,1.34873,0.0009506,0.0009506,0.0009506
55,1757.09,0.63338,0.47958,1.3148,0.90686,0.92513,0.95328,0.81015,0.6828,0.58326,1.40499,0.0009308,0.0009308,0.0009308
56,1789.07,0.61704,0.46881,1.30356,0.91477,0.92076,0.95891,0.81196,0.66778,0.56909,1.33942,0.000911,0.000911,0.000911
57,1819.95,0.61044,0.46169,1.3205,0.93122,0.89934,0.95868,0.81684,0.66636,0.55891,1.34757,0.0008912,0.0008912,0.0008912
58,1851.67,0.60151,0.46107,1.28302,0.9255,0.92831,0.96065,0.81562,0.65894,0.54404,1.3085,0.0008714,0.0008714,0.0008714
59,1883.96,0.60647,0.45616,1.29282,0.91572,0.91605,0.95599,0.81514,0.66261,0.57233,1.32821,0.0008516,0.0008516,0.0008516
60,1915.36,0.60145,0.46273,1.28725,0.93009,0.92159,0.94367,0.80862,0.64553,0.57355,1.33381,0.0008318,0.0008318,0.0008318
61,1946.43,0.60024,0.4547,1.28931,0.92005,0.92365,0.95454,0.81483,0.66677,0.55531,1.33866,0.000812,0.000812,0.000812
62,1978.86,0.60309,0.45645,1.29931,0.91785,0.92712,0.95913,0.81037,0.68599,0.56309,1.35131,0.0007922,0.0007922,0.0007922
63,2011.68,0.58452,0.4463,1.30479,0.92686,0.90775,0.95681,0.82247,0.65193,0.58005,1.34125,0.0007724,0.0007724,0.0007724
64,2043.08,0.57541,0.44259,1.28495,0.91784,0.93635,0.95431,0.81808,0.64328,0.55095,1.3285,0.0007526,0.0007526,0.0007526
65,2075.43,0.60241,0.45561,1.30039,0.90684,0.93173,0.94893,0.81452,0.65209,0.5594,1.32613,0.0007328,0.0007328,0.0007328
66,2110.83,0.58277,0.44903,1.27881,0.88893,0.94504,0.94959,0.82067,0.633,0.55925,1.30258,0.000713,0.000713,0.000713
67,2142.93,0.58545,0.45278,1.2826,0.91433,0.91421,0.95138,0.81576,0.64459,0.55789,1.28667,0.0006932,0.0006932,0.0006932
68,2174.52,0.58009,0.44258,1.27593,0.91174,0.91486,0.9536,0.8253,0.6315,0.55958,1.32378,0.0006734,0.0006734,0.0006734
69,2207.54,0.58618,0.44486,1.28376,0.92432,0.91264,0.95999,0.82247,0.65696,0.56295,1.30216,0.0006536,0.0006536,0.0006536
70,2240.88,0.57247,0.43059,1.25848,0.90548,0.94556,0.96131,0.83384,0.61409,0.53526,1.30958,0.0006338,0.0006338,0.0006338
71,2272.73,0.57008,0.43872,1.25917,0.92016,0.91429,0.95756,0.82743,0.63235,0.54841,1.29048,0.000614,0.000614,0.000614
72,2304.54,0.55711,0.42905,1.27152,0.92714,0.92435,0.96105,0.8306,0.63986,0.55078,1.30673,0.0005942,0.0005942,0.0005942
73,2335.54,0.57401,0.4326,1.28042,0.90989,0.9345,0.95785,0.8221,0.6298,0.53676,1.29793,0.0005744,0.0005744,0.0005744
74,2367.98,0.55479,0.42205,1.26439,0.95085,0.90498,0.95755,0.82423,0.62761,0.55097,1.30638,0.0005546,0.0005546,0.0005546
75,2399.61,0.5574,0.42711,1.25308,0.93757,0.9144,0.9609,0.83038,0.62058,0.53911,1.29744,0.0005348,0.0005348,0.0005348
76,2430.84,0.55041,0.42695,1.26242,0.91816,0.92107,0.95609,0.82545,0.62077,0.55767,1.30357,0.000515,0.000515,0.000515
77,2462.12,0.54044,0.41806,1.23546,0.93044,0.91144,0.95876,0.83481,0.61819,0.53838,1.29079,0.0004952,0.0004952,0.0004952
78,2494.8,0.52996,0.40777,1.23437,0.93456,0.91236,0.95929,0.8386,0.60497,0.53202,1.28644,0.0004754,0.0004754,0.0004754
79,2526.58,0.54042,0.41454,1.22867,0.94099,0.91206,0.96131,0.83682,0.60514,0.53104,1.29364,0.0004556,0.0004556,0.0004556
80,2558.36,0.52745,0.40577,1.24614,0.95026,0.89391,0.95668,0.83043,0.60729,0.54713,1.2924,0.0004358,0.0004358,0.0004358
81,2589.96,0.54295,0.41166,1.24987,0.9271,0.91515,0.96076,0.83107,0.60842,0.52441,1.27707,0.000416,0.000416,0.000416
82,2621.6,0.52558,0.39978,1.21838,0.92697,0.91144,0.95857,0.82796,0.61665,0.54355,1.30428,0.0003962,0.0003962,0.0003962
83,2653.75,0.51955,0.39892,1.21677,0.93475,0.90959,0.9555,0.8331,0.6024,0.52885,1.29543,0.0003764,0.0003764,0.0003764
84,2685.53,0.51535,0.39697,1.21994,0.93791,0.91236,0.96233,0.83862,0.60813,0.53967,1.2963,0.0003566,0.0003566,0.0003566
85,2717.08,0.5237,0.40452,1.24522,0.92215,0.92528,0.95732,0.82963,0.60491,0.52945,1.29128,0.0003368,0.0003368,0.0003368
86,2748.29,0.5276,0.4046,1.24865,0.93648,0.91118,0.95585,0.82727,0.61802,0.55668,1.2614,0.000317,0.000317,0.000317
87,2781.67,0.51523,0.39794,1.21925,0.93167,0.91826,0.95616,0.82579,0.61734,0.5438,1.28164,0.0002972,0.0002972,0.0002972
88,2813.63,0.51833,0.40384,1.21836,0.92503,0.92159,0.95966,0.83063,0.60413,0.53646,1.27761,0.0002774,0.0002774,0.0002774
89,2844.97,0.51328,0.39562,1.22686,0.93244,0.91513,0.9572,0.83164,0.61008,0.54676,1.28864,0.0002576,0.0002576,0.0002576
90,2876.17,0.50821,0.39505,1.21941,0.90545,0.9345,0.95675,0.83686,0.59921,0.52547,1.26911,0.0002378,0.0002378,0.0002378
91,2911.74,0.42116,0.3413,1.1338,0.93519,0.91843,0.964,0.84345,0.60771,0.53129,1.28241,0.000218,0.000218,0.000218
92,2941.18,0.41601,0.33213,1.13439,0.92491,0.93081,0.96372,0.8465,0.59337,0.51343,1.27737,0.0001982,0.0001982,0.0001982
93,2970.13,0.42809,0.33524,1.14115,0.91458,0.93727,0.96237,0.84283,0.58985,0.51091,1.27539,0.0001784,0.0001784,0.0001784
94,2999.24,0.41057,0.32805,1.12471,0.91226,0.93635,0.96231,0.8436,0.58751,0.51893,1.26645,0.0001586,0.0001586,0.0001586
95,3028.62,0.41462,0.32605,1.13005,0.93227,0.91428,0.96019,0.84001,0.5942,0.52315,1.2882,0.0001388,0.0001388,0.0001388
96,3058.35,0.40382,0.32149,1.11862,0.92197,0.93727,0.96225,0.84263,0.58791,0.51342,1.2822,0.000119,0.000119,0.000119
97,3087.32,0.39867,0.3171,1.13676,0.93354,0.92343,0.96376,0.84661,0.58241,0.50895,1.25691,9.92e-05,9.92e-05,9.92e-05
98,3116.57,0.40569,0.31788,1.12038,0.9276,0.93727,0.96561,0.84751,0.58345,0.5062,1.25823,7.94e-05,7.94e-05,7.94e-05
99,3145.82,0.3981,0.31732,1.1297,0.93094,0.93265,0.96566,0.847,0.58016,0.50566,1.26535,5.96e-05,5.96e-05,5.96e-05
100,3174.57,0.3865,0.30951,1.10956,0.9274,0.93173,0.96455,0.84771,0.57687,0.50743,1.26169,3.98e-05,3.98e-05,3.98e-05
